store_id,item_id,wm_yr_wk,sell_price
CA_1,FOODS_1_001,201501,16.24
CA_1,FOODS_1_001,201502,15.56
CA_1,FOODS_1_001,201503,15.77
CA_1,FOODS_1_001,201504,15.53
CA_1,FOODS_1_001,201505,15.99
CA_1,FOODS_1_001,201506,15.97
CA_1,FOODS_1_001,201507,16.31
CA_1,FOODS_1_001,201508,15.81
CA_1,FOODS_1_001,201509,16.29
CA_1,FOODS_1_001,201510,16.44
CA_1,FOODS_1_001,201511,15.6
CA_1,FOODS_1_001,201512,16.27
CA_1,FOODS_1_001,201513,16.08
CA_1,FOODS_1_001,201514,15.97
CA_1,FOODS_1_001,201515,15.91
CA_1,FOODS_1_001,201516,16.26
CA_1,FOODS_1_001,201517,16.12
CA_1,FOODS_1_001,201518,16.28
CA_1,FOODS_1_001,201519,16.38
CA_1,FOODS_1_001,201520,16.1
CA_1,FOODS_1_001,201521,16.45
CA_1,FOODS_1_001,201522,16.09
CA_1,FOODS_1_001,201523,16.12
CA_1,FOODS_1_001,201524,16.04
CA_1,FOODS_1_001,201525,15.6
CA_1,FOODS_1_001,201526,16.21
CA_1,FOODS_1_001,201527,16.04
CA_1,FOODS_1_001,201528,15.94
CA_1,FOODS_1_001,201529,16.38
CA_1,FOODS_1_001,201530,15.8
CA_1,FOODS_1_001,201531,16.01
CA_1,FOODS_1_001,201532,16.18
CA_1,FOODS_1_001,201533,16.27
CA_1,FOODS_1_001,201534,15.95
CA_1,FOODS_1_001,201535,16.32
CA_1,FOODS_1_001,201536,16.25
CA_1,FOODS_1_001,201537,15.57
CA_1,FOODS_1_001,201538,15.55
CA_1,FOODS_1_001,201539,16.11
CA_1,FOODS_1_001,201540,15.84
CA_1,FOODS_1_001,201541,15.71
CA_1,FOODS_1_001,201542,16.07
CA_1,FOODS_1_001,201543,15.84
CA_1,FOODS_1_001,201544,16.03
CA_1,FOODS_1_001,201545,15.95
CA_1,FOODS_1_001,201546,16.07
CA_1,FOODS_1_001,201547,15.89
CA_1,FOODS_1_001,201548,16.18
CA_1,FOODS_1_001,201549,15.68
CA_1,FOODS_1_001,201550,16.18
CA_1,FOODS_1_001,201551,15.91
CA_1,FOODS_1_001,201552,16.35
CA_1,FOODS_1_001,201553,16.0
CA_1,FOODS_1_001,201653,16.44
CA_1,FOODS_1_001,201601,16.09
CA_1,FOODS_1_001,201602,15.73
CA_1,FOODS_1_001,201603,16.3
CA_1,FOODS_1_001,201604,15.84
CA_1,FOODS_1_001,201605,15.84
CA_1,FOODS_1_001,201606,15.54
CA_1,FOODS_1_001,201607,16.04
CA_1,FOODS_1_001,201608,16.02
CA_1,FOODS_1_001,201609,15.85
CA_1,FOODS_1_001,201610,16.37
CA_1,FOODS_1_001,201611,15.63
CA_1,FOODS_1_001,201612,15.83
CA_1,FOODS_1_001,201613,15.82
CA_1,FOODS_1_001,201614,15.6
CA_1,FOODS_1_001,201615,15.97
CA_1,FOODS_1_001,201616,16.17
CA_1,FOODS_1_001,201617,16.0
CA_1,FOODS_1_001,201618,15.66
CA_1,FOODS_1_001,201619,15.87
CA_1,FOODS_1_001,201620,15.51
CA_1,FOODS_1_002,201501,15.44
CA_1,FOODS_1_002,201502,15.92
CA_1,FOODS_1_002,201503,16.29
CA_1,FOODS_1_002,201504,15.86
CA_1,FOODS_1_002,201505,16.23
CA_1,FOODS_1_002,201506,15.58
CA_1,FOODS_1_002,201507,16.08
CA_1,FOODS_1_002,201508,15.86
CA_1,FOODS_1_002,201509,16.04
CA_1,FOODS_1_002,201510,15.41
CA_1,FOODS_1_002,201511,15.5
CA_1,FOODS_1_002,201512,15.48
CA_1,FOODS_1_002,201513,16.01
CA_1,FOODS_1_002,201514,16.16
CA_1,FOODS_1_002,201515,16.07
CA_1,FOODS_1_002,201516,15.38
CA_1,FOODS_1_002,201517,16.18
CA_1,FOODS_1_002,201518,15.69
CA_1,FOODS_1_002,201519,15.73
CA_1,FOODS_1_002,201520,15.45
CA_1,FOODS_1_002,201521,16.06
CA_1,FOODS_1_002,201522,15.53
CA_1,FOODS_1_002,201523,15.89
CA_1,FOODS_1_002,201524,16.15
CA_1,FOODS_1_002,201525,15.44
CA_1,FOODS_1_002,201526,15.86
CA_1,FOODS_1_002,201527,15.58
CA_1,FOODS_1_002,201528,15.68
CA_1,FOODS_1_002,201529,15.81
CA_1,FOODS_1_002,201530,15.69
CA_1,FOODS_1_002,201531,15.97
CA_1,FOODS_1_002,201532,15.81
CA_1,FOODS_1_002,201533,15.91
CA_1,FOODS_1_002,201534,16.05
CA_1,FOODS_1_002,201535,15.88
CA_1,FOODS_1_002,201536,15.91
CA_1,FOODS_1_002,201537,15.89
CA_1,FOODS_1_002,201538,15.71
CA_1,FOODS_1_002,201539,15.68
CA_1,FOODS_1_002,201540,16.21
CA_1,FOODS_1_002,201541,15.93
CA_1,FOODS_1_002,201542,15.59
CA_1,FOODS_1_002,201543,15.83
CA_1,FOODS_1_002,201544,15.67
CA_1,FOODS_1_002,201545,16.24
CA_1,FOODS_1_002,201546,15.36
CA_1,FOODS_1_002,201547,15.57
CA_1,FOODS_1_002,201548,15.7
CA_1,FOODS_1_002,201549,15.82
CA_1,FOODS_1_002,201550,16.16
CA_1,FOODS_1_002,201551,15.44
CA_1,FOODS_1_002,201552,16.12
CA_1,FOODS_1_002,201553,15.41
CA_1,FOODS_1_002,201653,16.16
CA_1,FOODS_1_002,201601,15.4
CA_1,FOODS_1_002,201602,15.37
CA_1,FOODS_1_002,201603,16.02
CA_1,FOODS_1_002,201604,16.3
CA_1,FOODS_1_002,201605,16.21
CA_1,FOODS_1_002,201606,15.9
CA_1,FOODS_1_002,201607,16.23
CA_1,FOODS_1_002,201608,15.36
CA_1,FOODS_1_002,201609,16.28
CA_1,FOODS_1_002,201610,15.82
CA_1,FOODS_1_002,201611,16.04
CA_1,FOODS_1_002,201612,16.13
CA_1,FOODS_1_002,201613,16.04
CA_1,FOODS_1_002,201614,15.86
CA_1,FOODS_1_002,201615,15.81
CA_1,FOODS_1_002,201616,16.15
CA_1,FOODS_1_002,201617,15.55
CA_1,FOODS_1_002,201618,16.27
CA_1,FOODS_1_002,201619,16.03
CA_1,FOODS_1_002,201620,15.54
CA_1,FOODS_1_003,201501,13.67
CA_1,FOODS_1_003,201502,13.82
CA_1,FOODS_1_003,201503,13.87
CA_1,FOODS_1_003,201504,13.31
CA_1,FOODS_1_003,201505,13.65
CA_1,FOODS_1_003,201506,14.0
CA_1,FOODS_1_003,201507,13.5
CA_1,FOODS_1_003,201508,13.73
CA_1,FOODS_1_003,201509,13.54
CA_1,FOODS_1_003,201510,13.61
CA_1,FOODS_1_003,201511,13.69
CA_1,FOODS_1_003,201512,13.69
CA_1,FOODS_1_003,201513,13.41
CA_1,FOODS_1_003,201514,13.8
CA_1,FOODS_1_003,201515,13.31
CA_1,FOODS_1_003,201516,13.35
CA_1,FOODS_1_003,201517,13.24
CA_1,FOODS_1_003,201518,13.34
CA_1,FOODS_1_003,201519,13.63
CA_1,FOODS_1_003,201520,13.74
CA_1,FOODS_1_003,201521,13.89
CA_1,FOODS_1_003,201522,13.33
CA_1,FOODS_1_003,201523,13.94
CA_1,FOODS_1_003,201524,13.85
CA_1,FOODS_1_003,201525,13.58
CA_1,FOODS_1_003,201526,14.0
CA_1,FOODS_1_003,201527,14.05
CA_1,FOODS_1_003,201528,13.41
CA_1,FOODS_1_003,201529,13.55
CA_1,FOODS_1_003,201530,14.0
CA_1,FOODS_1_003,201531,13.83
CA_1,FOODS_1_003,201532,13.28
CA_1,FOODS_1_003,201533,13.88
